l.uzytkowników;średnia ilośc komentarzy;ilośc komentarzy;wartość przewidziana;wartość pomiaru;pomiar/przewidywanie
5000;1,5;7500;702;390,351;0,556
5000;2;10000;711;398,638;0,561
2500;2;5000;330,5;190,315;0,576
25000;2;50000;3755;2606,098;0,694
10000;2,5;25000;1490;938,633;0,63
1000;2,5;2500;104;67,353;0,648
2500;3;7500;339,5;200,814;0,591
7500;3,33;25000;1127,5;696,972;0,618
750;3,33;2500;67,75;47,304;0,698
2500;4;10000;348,5;213,9;0,614
25000;4;100000;3935;3218,993;0,818
5000;5;25000;765;490,326;0,641
1000;5;5000;113;75,008;0,664
10000;5;50000;1580;1095,701;0,693
7500;6,67;50000;1217,5;830,098;0,682
750;6,67;5000;76,75;55,681;0,725
1000;7,5;7500;122;82,002;0,672
2500;10;25000;402,5;267,625;0,665
1000;10;10000;131;89,239;0,681
5000;10;50000;855;592,629;0,693
750;10;7500;85,75;62,96;0,734
10000;10;100000;1760;1356,721;0,771
25000;10;250000;4475;4659,737;1,041
750;13,33;10000;94,75;70,09;0,74
7500;13,33;100000;1397,5;1074,72;0,769
2500;20;50000;492,5;342,313;0,695
5000;20;100000;1035;804,445;0,777
25000;20;500000;5375;6124,138;1,139
1000;25;25000;185;129,983;0,703
10000;25;250000;2300;2031,328;0,883
750;33,33;25000;148,75;107,094;0,72
7500;33,33;250000;1937,5;1646,5;0,85
2500;40;100000;672,5;492,24;0,732
25000;40;1000000;7175;8378,315;1,168
1000;50;50000;275;183,739;0,668
5000;50;250000;1575;1309,985;0,832
10000;50;500000;3200;3161,038;0,988
750;66,67;50000;238,75;159,681;0,669
7500;66,67;500000;2837,5;2628,546;0,926
1000;100;100000;455;286,555;0,63
2500;100;250000;1212,5;891,067;0,735
5000;100;500000;2475;2163,041;0,874
10000;100;1000000;5000;4953,347;0,991
25000;100;2500000;12575;14595,775;1,161
750;133,33;100000;418,75;251,623;0,601
7500;133,33;1000000;4637,5;4323,744;0,932
2500;200;500000;2112,5;1476,193;0,699
5000;200;1000000;4275;3684,329;0,862
25000;200;5000000;21575;23649,72;1,096
10000;250;2500000;10400;9808,519;0,943
